date_id,full_date,year,quarter,month_num,month_name,fiscal_year,is_year_end
1,1/1/2022,2022,Q1,1,January,FY2022,0
2,2/1/2022,2022,Q1,2,February,FY2022,0
3,3/1/2022,2022,Q1,3,March,FY2022,0
4,4/1/2022,2022,Q2,4,April,FY2022,0
5,5/1/2022,2022,Q2,5,May,FY2022,0
6,6/1/2022,2022,Q2,6,June,FY2022,0
7,7/1/2022,2022,Q3,7,July,FY2022,0
8,8/1/2022,2022,Q3,8,August,FY2022,0
9,9/1/2022,2022,Q3,9,September,FY2022,0
10,10/1/2022,2022,Q4,10,October,FY2022,0
11,11/1/2022,2022,Q4,11,November,FY2022,0
12,12/1/2022,2022,Q4,12,December,FY2022,1
13,1/1/2023,2023,Q1,1,January,FY2023,0
14,2/1/2023,2023,Q1,2,February,FY2023,0
15,3/1/2023,2023,Q1,3,March,FY2023,0
16,4/1/2023,2023,Q2,4,April,FY2023,0
17,5/1/2023,2023,Q2,5,May,FY2023,0
18,6/1/2023,2023,Q2,6,June,FY2023,0
19,7/1/2023,2023,Q3,7,July,FY2023,0
20,8/1/2023,2023,Q3,8,August,FY2023,0
21,9/1/2023,2023,Q3,9,September,FY2023,0
22,10/1/2023,2023,Q4,10,October,FY2023,0
23,11/1/2023,2023,Q4,11,November,FY2023,0
24,12/1/2023,2023,Q4,12,December,FY2023,1
25,1/1/2024,2024,Q1,1,January,FY2024,0
26,2/1/2024,2024,Q1,2,February,FY2024,0
27,3/1/2024,2024,Q1,3,March,FY2024,0
28,4/1/2024,2024,Q2,4,April,FY2024,0
29,5/1/2024,2024,Q2,5,May,FY2024,0
30,6/1/2024,2024,Q2,6,June,FY2024,0
31,7/1/2024,2024,Q3,7,July,FY2024,0
32,8/1/2024,2024,Q3,8,August,FY2024,0
33,9/1/2024,2024,Q3,9,September,FY2024,0
34,10/1/2024,2024,Q4,10,October,FY2024,0
35,11/1/2024,2024,Q4,11,November,FY2024,0
36,12/1/2024,2024,Q4,12,December,FY2024,1
